cluster_id,max_rate_z,month,count,rate,name
15,2.2180308942518523,2025-11,6,0.3333333333333333,Taxi - Deviation / Discrepancy - Procedural Published Mat...
17,2.195954080108643,2025-11,5,0.2777777777777778,Cruise - Inflight Event / Encounter Wake Vortex Encounter
28,2.0656659154994927,2025-11,3,0.16666666666666666,Initial Approach - Deviation / Discrepancy - Procedural P...
2,2.06343667495117,2025-10,10,0.046948356807511735,Final Approach - Airspace Violation All Types; Conflict N...
29,1.9966971123632926,2025-09,14,0.036939313984168866,Cruise - ATC Issue All Types; Deviation / Discrepancy - P...
