month_key,cluster,cluster_label,count,total_reports_month,normalized_rate,pct_change,rolling_mean_rate,max_rate_z
2015-01,-1,Noise,1,1,1.0,0.0,1.0,3.318374702207418
2023-12,-1,Noise,1,1,1.0,0.0,1.0,3.318374702207418
2024-01,-1,Noise,88,397,0.2216624685138539,-77.8337531486146,1.0,-0.32904712018462096
2024-02,-1,Noise,69,357,0.19327731092436976,-12.805576776165006,0.7405541561712846,-0.46206478801600226
2024-03,-1,Noise,95,479,0.19832985386221294,2.6141417808840828,0.47164659314607454,-0.43838771396449866
2024-04,-1,Noise,89,476,0.1869747899159664,-5.7253427686864145,0.20442321110014552,-0.4915994715333728
2024-05,-1,Noise,110,487,0.22587268993839835,20.80382068615463,0.19286065156751633,-0.30931730775778793
2024-06,-1,Noise,126,473,0.266384778012685,17.935806265615994,0.2037257779055259,-0.11947078470668727
2024-07,-1,Noise,120,447,0.2684563758389262,0.7776712474699021,0.22641075262234991,-0.10976292556718947
2024-08,-1,Noise,102,458,0.22270742358078602,-17.041484716157207,0.2535712812633365,-0.3241502833235359
2024-09,-1,Noise,87,366,0.23770491803278687,6.734169077467045,0.2525161924774657,-0.253869477975522
2024-10,-1,Noise,112,415,0.26987951807228916,13.535521395928551,0.242956239150833,-0.10309383943379352
2024-11,-1,Noise,95,368,0.25815217391304346,-4.34539984472051,0.24343061989528736,-0.15805016528828683
2024-12,-1,Noise,90,391,0.23017902813299232,-10.83591331269349,0.2552455366727065,-0.2891370758273405
2025-01,-1,Noise,90,403,0.22332506203473945,-2.977667493796521,0.2527369067061083,-0.3212559246627158
2025-02,-1,Noise,126,451,0.2793791574279379,25.099778270509976,0.23721875469359174,-0.05857691651927236
2025-03,-1,Noise,125,510,0.24509803921568626,-12.270463741051973,0.24429441586522319,-0.2192240568731785
2025-04,-1,Noise,115,528,0.2178030303030303,-11.136363636363633,0.24926741955945453,-0.3471331029143157
2025-05,-1,Noise,117,475,0.2463157894736842,13.09107551487414,0.24742674231555148,-0.21351747240876956
2025-06,-1,Noise,124,513,0.24171539961013644,-1.8676796454574318,0.23640561966413354,-0.23507568038542545
2025-07,-1,Noise,124,475,0.26105263157894737,8.000000000000007,0.23527807312895024,-0.14445812821236367
2025-08,-1,Noise,143,526,0.2718631178707224,4.141113700478338,0.2496946068875893,-0.09379835399332723
2025-09,-1,Noise,125,501,0.249500998003992,-8.225507027902236,0.2582103830199354,-0.19859104443589376
